,cr_lmt_amt,prev_cr_lmt_amt,incm_amt,age,label
0,120000.0,140000.0,163591,36.0,0.0
1,90000.0,108000.0,90143,57.0,1.0
2,90000.0,130000.0,90143,57.0,0.0
3,300000.0,500000.0,120000,56.0,0.0
4,75000.0,0.0,120000,56.0,0.0
5,20000.0,0.0,16000,29.0,0.0
6,20000.0,0.0,16281,26.0,0.0
7,100000.0,500000.0,538735,60.0,0.0
8,100000.0,0.0,538735,60.0,1.0
9,800000.0,0.0,538735,60.0,0.0
10,800000.0,0.0,538735,60.0,0.0
11,100000.0,400000.0,538735,60.0,1.0
12,100000.0,0.0,538735,60.0,0.0
13,175000.0,0.0,50000,41.0,0.0
14,147000.0,50000.0,42000,27.0,0.0
15,100000.0,145000.0,58647,29.0,0.0
16,69000.0,50000.0,27600,46.0,0.0
17,30000.0,0.0,27600,46.0,0.0
18,69000.0,0.0,27600,46.0,1.0
19,130000.0,156000.0,44879,34.0,0.0
20,30000.0,0.0,24096,29.0,0.0
21,309000.0,244000.0,88471,38.0,1.0
22,256516.0,264000.0,88471,38.0,0.0
23,200000.0,0.0,94537,56.0,1.0
24,230000.0,0.0,94537,56.0,1.0
25,230000.0,0.0,94537,56.0,1.0
26,170000.0,0.0,88823,29.0,1.0
27,170000.0,60000.0,88823,29.0,1.0
28,170000.0,60000.0,88823,29.0,0.0
29,148000.0,0.0,74190,48.0,0.0
30,105000.0,0.0,35155,43.0,0.0
31,70000.0,0.0,35155,43.0,0.0
32,0.0,0.0,42283,30.0,0.0
33,80000.0,0.0,42283,30.0,0.0
34,80000.0,0.0,42283,30.0,0.0
35,80000.0,0.0,42283,30.0,1.0
36,200000.0,150000.0,59251,41.0,0.0
37,60000.0,60000.0,23006,35.0,1.0
38,140000.0,0.0,56587,30.0,0.0
39,88000.0,0.0,44002,45.0,0.0
40,60000.0,0.0,26166,50.0,0.0
41,100000.0,120000.0,63800,49.0,0.0
42,40000.0,0.0,23231,55.0,0.0
43,152000.0,19000.0,76223,28.0,0.0
44,152000.0,19000.0,76223,28.0,0.0
45,180000.0,0.0,149153,52.0,0.0
46,180000.0,0.0,149153,52.0,0.0
47,80000.0,0.0,48241,37.0,0.0
48,57000.0,46000.0,23000,30.0,0.0
49,130000.0,210000.0,63030,64.0,0.0
50,130000.0,0.0,65407,42.0,0.0
51,130000.0,0.0,65407,42.0,1.0
52,160000.0,0.0,66000,52.0,1.0
53,10000.0,40000.0,66000,52.0,1.0
54,160000.0,0.0,66000,52.0,0.0
55,419000.0,0.0,167600,51.0,0.0
56,42000.0,0.0,21033,28.0,1.0
57,97000.0,116400.0,48658,33.0,1.0
58,117000.0,0.0,45700,73.0,0.0
59,91000.0,0.0,45860,43.0,0.0
60,91000.0,0.0,45860,43.0,1.0
61,0.0,0.0,45860,43.0,0.0
62,200000.0,0.0,109629,39.0,0.0
63,200000.0,0.0,109629,39.0,0.0
64,0.0,104000.0,35000,59.0,0.0
65,104000.0,104000.0,35000,59.0,0.0
66,174000.0,0.0,35000,59.0,0.0
67,79113.0,85466.0,33480,41.0,0.0
68,60000.0,30000.0,24920,37.0,1.0
69,74000.0,0.0,37141,40.0,0.0
70,52000.0,0.0,26400,41.0,1.0
71,134000.0,154000.0,53851,45.0,0.0
72,33000.0,0.0,26512,46.0,0.0
73,33000.0,0.0,26512,46.0,0.0
74,84000.0,34000.0,44712,37.0,0.0
75,200000.0,0.0,88901,50.0,0.0
76,200000.0,240000.0,88901,50.0,0.0
77,30000.0,0.0,15000,28.0,1.0
78,338000.0,0.0,112916,45.0,1.0
79,338000.0,0.0,112916,45.0,1.0
80,100000.0,0.0,104383,48.0,1.0
81,300000.0,140000.0,104383,48.0,1.0
82,90000.0,0.0,54398,41.0,0.0
83,0.0,99722.0,54398,41.0,0.0
84,208000.0,508000.0,104330,42.0,0.0
85,250000.0,450000.0,100000,62.0,0.0
86,37000.0,124000.0,24858,37.0,1.0
87,70000.0,0.0,35000,29.0,1.0
88,131000.0,135000.0,138000,56.0,0.0
89,28000.0,43000.0,16000,31.0,0.0
90,117000.0,0.0,59600,44.0,0.0
91,150000.0,0.0,59600,44.0,0.0
92,75000.0,0.0,37615,37.0,0.0
93,130000.0,0.0,37771,53.0,0.0
94,22000.0,0.0,17697,27.0,0.0
95,132000.0,0.0,53130,56.0,1.0
96,132000.0,0.0,53130,56.0,0.0
97,200000.0,0.0,24177,61.0,0.0
98,75000.0,0.0,24177,61.0,1.0
99,120000.0,0.0,24177,61.0,1.0
100,77000.0,77000.0,28150,55.0,0.0
101,77000.0,0.0,28150,55.0,0.0
102,77000.0,0.0,28150,55.0,0.0
103,110000.0,100000.0,55166,34.0,0.0
104,92000.0,0.0,53602,33.0,1.0
105,268000.0,231000.0,53602,33.0,0.0
106,50000.0,89904.0,53602,33.0,0.0
107,100000.0,200611.0,469440,53.0,0.0
108,200000.0,0.0,69000,49.0,0.0
109,200000.0,125000.0,69000,49.0,0.0
110,21000.0,0.0,17579,30.0,0.0
111,200000.0,0.0,114522,32.0,0.0
112,200000.0,142000.0,114522,32.0,0.0
113,200000.0,0.0,114522,32.0,0.0
114,80000.0,0.0,40000,30.0,1.0
115,70000.0,0.0,21590,44.0,0.0
116,30000.0,0.0,32000,40.0,0.0
117,100000.0,0.0,33833,29.0,1.0
118,100000.0,0.0,33833,29.0,0.0
119,10000.0,45000.0,53423,40.0,0.0
120,0.0,0.0,53423,40.0,0.0
121,45000.0,0.0,53423,40.0,1.0
122,34000.0,0.0,19830,41.0,0.0
123,34000.0,0.0,19830,41.0,0.0
124,34000.0,0.0,19830,41.0,0.0
125,49000.0,0.0,25590,59.0,0.0
126,100000.0,0.0,75859,54.0,1.0
127,100000.0,165000.0,75859,54.0,0.0
128,17000.0,0.0,17867,40.0,0.0
129,90000.0,120000.0,50058,38.0,1.0
130,79000.0,94800.0,52892,34.0,0.0
131,119000.0,136850.0,43716,40.0,1.0
132,34000.0,0.0,17000,31.0,0.0
133,300000.0,0.0,203845,45.0,0.0
134,74000.0,0.0,37266,29.0,1.0
135,0.0,0.0,75490,54.0,1.0
136,150000.0,0.0,75490,54.0,1.0
137,30000.0,0.0,111422,56.0,1.0
138,69000.0,0.0,34952,31.0,1.0
139,254000.0,135000.0,127024,63.0,0.0
140,254000.0,0.0,127024,63.0,0.0
141,50000.0,0.0,127024,63.0,0.0
142,500000.0,0.0,250000,64.0,0.0
143,80000.0,110000.0,42000,44.0,1.0
144,220000.0,0.0,54270,51.0,0.0
145,100000.0,0.0,54270,51.0,0.0
146,220000.0,0.0,54270,51.0,1.0
147,100000.0,0.0,54270,51.0,0.0
148,99000.0,104000.0,57000,35.0,0.0
149,99000.0,0.0,57000,35.0,1.0
150,300000.0,160000.0,65246,33.0,0.0
151,160000.0,0.0,65246,33.0,0.0
152,57000.0,0.0,28576,25.0,0.0
153,38000.0,44927.0,21764,35.0,0.0
154,38000.0,0.0,21764,35.0,0.0
155,38000.0,0.0,19000,28.0,0.0
156,51000.0,0.0,25578,44.0,0.0
157,60000.0,62000.0,33849,56.0,0.0
158,33000.0,0.0,19031,31.0,0.0
159,33000.0,0.0,19031,31.0,0.0
160,60000.0,0.0,33873,41.0,0.0
161,33000.0,39600.0,16826,34.0,0.0
162,40000.0,0.0,22121,31.0,1.0
163,40000.0,0.0,22121,31.0,0.0
164,196000.0,0.0,98000,41.0,1.0
165,50000.0,60000.0,16963,30.0,0.0
166,72000.0,60000.0,49948,36.0,0.0
